Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Javon Small",MEM,27,26,4,7,1,2,1,5,7,12,4,4,58.3,100.0,1.58,1.11,14.94
2,"Egor Demin",BKN,23,22,4,8,4,0,0,1,5,12,5,5,41.7,100.0,-0.42,1.39,11.61
3,"Trevon Brazile",DEN,27,32,6,0,1,1,2,6,11,19,2,2,57.9,100.0,2.42,0.56,11.00
4,"Tobe Awaka",CHI,29,14,10,1,3,3,2,0,6,8,1,2,75.0,50.0,2.39,-0.44,8.90
5,"Emanuel Sharp",SAC,23,23,3,0,4,1,5,6,7,12,2,2,58.3,100.0,1.58,0.56,8.58
6,"Brendan Hausen",MEM,19,20,3,1,0,0,0,6,7,9,0,0,77.8,,2.94,0.00,7.31
7,"Labaron Philon Jr.",PHI,28,17,2,4,2,1,1,1,7,11,2,2,63.6,100.0,2.03,0.56,7.21
8,"Isaiah Crawford",HOU,27,19,6,3,0,2,2,2,6,12,3,3,50.0,100.0,0.58,0.84,7.13
9,"Jaylin Sellers",CHI,27,24,1,3,3,1,4,2,7,12,5,6,58.3,83.3,1.58,0.67,6.61
10,"Ben Saraf",BKN,21,11,0,5,4,0,1,1,3,4,2,2,75.0,100.0,1.19,0.56,6.02
11,"Donovan Atwell",CHI,26,19,1,1,1,0,0,6,6,12,1,1,50.0,100.0,0.58,0.28,5.88
12,"Bennett Stirtz",OKC,30,22,2,6,1,1,4,2,8,16,2,2,50.0,100.0,0.77,0.56,5.55
13,"Drake Powell",BKN,21,18,1,0,2,1,2,4,6,10,1,1,60.0,100.0,1.48,0.28,5.30
14,"DeJon Jarreau",DEN,18,2,3,8,2,2,0,0,1,5,0,0,20.0,,-1.26,0.00,5.28
15,"Bruce Thornton",HOU,26,18,2,4,2,0,0,3,5,9,3,5,55.6,60.0,0.94,-0.61,5.28
16,"Chris Manon",LAL,25,17,11,2,2,0,1,2,5,14,3,4,35.7,75.0,-1.32,0.11,5.23
17,"Malevy Leons",GS,26,10,3,3,2,1,1,1,4,6,1,1,66.7,100.0,1.29,0.28,4.90
18,"Mikel Brown Jr.",BKN,19,16,2,5,2,1,4,2,6,11,1,1,54.5,100.0,1.03,0.28,4.83
19,"Brooks Barnhizer",OKC,29,12,11,5,2,0,2,0,4,12,2,2,33.3,100.0,-1.42,0.56,4.63
20,"Caleb Wilson",CHI,24,19,8,3,0,1,3,2,7,15,1,1,46.7,100.0,0.23,0.28,4.50
21,"Adou Thiero",LAL,27,13,6,3,1,1,2,0,5,6,2,3,83.3,66.7,2.29,-0.16,4.07
22,"Chaney Johnson",BKN,26,13,9,3,1,0,3,0,5,7,2,2,71.4,100.0,1.84,0.56,3.95
23,"Cameron Boozer",MEM,26,12,7,3,3,0,2,1,4,12,2,2,33.3,100.0,-1.42,0.56,3.74
24,"Jahmai Mashack",MEM,22,10,4,3,0,1,1,2,2,4,2,2,50.0,100.0,0.19,0.56,3.63
25,"Josh Dix",OKC,26,14,6,1,0,1,1,2,5,10,1,1,50.0,100.0,0.48,0.28,3.60
26,"Tristen Newton",HOU,20,17,5,3,1,0,2,1,5,11,3,3,45.5,100.0,0.03,0.84,3.47
27,"Anton Watson",LAL,24,7,3,3,0,4,1,1,2,10,1,1,20.0,100.0,-2.52,0.28,3.42
28,"Yaxel Lendeborg",GS,29,15,9,3,2,0,4,0,6,12,2,2,50.0,100.0,0.58,0.56,3.41
29,"Osayi Osifo",DEN,13,11,2,0,1,1,0,1,3,4,2,2,75.0,100.0,1.19,0.56,3.15
30,"Chris Livingston",WSH,28,21,4,0,1,1,3,2,8,14,2,3,57.1,66.7,1.68,-0.16,3.04
31,"Cameron Carr",LAL,29,23,1,2,0,1,0,3,8,18,3,5,44.4,60.0,-0.13,-0.61,3.02
32,"Kennedy Chandler",CHI,22,10,2,5,4,1,4,0,4,7,1,2,57.1,50.0,0.84,-0.44,3.00
33,"Keaton Wagler",LAC,30,16,6,4,0,0,1,1,6,15,2,2,40.0,100.0,-0.77,0.56,2.86
34,"Kobe Sanders",LAC,27,18,6,2,1,0,4,2,6,12,2,2,50.0,100.0,0.58,0.56,2.68
35,"Darius Acuff Jr.",SAC,26,26,0,5,1,1,5,2,9,18,4,6,50.0,66.7,0.87,-0.33,2.62
36,"Payton Sandfort",OKC,27,19,3,2,0,1,2,2,7,18,3,3,38.9,100.0,-1.13,0.84,2.61
37,"Arthur Kaluma",LAL,23,15,1,4,0,0,1,3,4,7,2,3,57.1,66.7,0.84,-0.16,2.47
38,"Reece Beekman",WSH,25,8,2,3,3,2,3,0,2,5,2,3,40.0,66.7,-0.26,-0.16,2.28
39,"Nate Johnson",OKC,16,6,2,1,4,0,1,0,3,4,0,0,75.0,,1.19,0.00,2.08
40,"Oscar Cluff",HOU,17,4,9,1,1,1,1,0,2,4,0,0,50.0,,0.19,0.00,2.02
41,"Ben Humrichous",BKN,6,3,2,0,1,2,0,1,1,1,0,0,100.0,,0.55,0.00,1.86
42,"Noa Essengue",CHI,17,8,7,0,1,0,1,1,3,5,1,1,60.0,100.0,0.74,0.28,1.61
43,"William Kyle III",LAL,14,2,7,0,0,3,0,0,1,2,0,1,50.0,0.0,0.10,-0.72,1.61
44,"Taylor Hendricks",MEM,22,13,6,0,1,1,2,1,3,7,3,4,42.9,75.0,-0.16,0.11,1.54
45,"Felix Okpara",WSH,22,12,4,2,1,1,3,0,5,9,1,1,55.6,100.0,0.94,0.28,1.49
46,"Cedric Coward",MEM,25,10,5,3,1,0,2,1,2,7,3,3,28.6,100.0,-1.16,0.84,1.45
47,"Seth Trimble",WSH,28,13,3,2,2,0,3,1,2,7,4,4,28.6,100.0,-1.16,1.11,1.28
48,"Joshua Jefferson",BKN,18,9,1,1,2,1,2,1,4,7,0,0,57.1,,0.84,0.00,1.28
49,"Buddy Boeheim",OKC,16,10,1,1,0,0,0,2,4,5,0,0,80.0,,1.74,0.00,1.09
50,"Lajae Jones",GS,16,10,0,0,0,1,0,1,4,6,1,1,66.7,100.0,1.29,0.28,0.88
51,"Amani Lyles",PHI,12,13,3,1,0,0,1,0,4,7,3,3,57.1,100.0,0.84,0.84,0.71
52,"Danny Wolf",BKN,20,14,2,1,1,0,1,0,5,10,2,2,50.0,100.0,0.48,0.56,0.67
53,"Quadir Copeland",HOU,25,6,4,3,2,0,2,0,3,6,0,0,50.0,,0.29,0.00,0.50
54,"Matthew Murrell",DEN,17,9,2,0,2,0,1,0,2,3,2,2,66.7,100.0,0.65,0.56,0.50
55,"Norchad Omier",LAC,22,6,6,1,1,1,1,0,3,5,0,1,60.0,0.0,0.74,-0.72,0.40
56,"Nick Boyd",GS,15,4,3,5,1,0,1,0,2,5,0,0,40.0,,-0.26,0.00,0.26
57,"Nick Martinelli",LAC,26,12,10,0,0,0,1,0,5,13,1,1,38.5,100.0,-0.87,0.28,0.21
58,"Taye Fields",PHI,15,2,6,1,2,0,1,0,1,2,0,0,50.0,,0.10,0.00,0.13
59,"Erik Stevenson",DEN,27,12,7,4,0,0,4,3,4,11,1,2,36.4,50.0,-0.97,-0.44,0.05
60,"AK Okereke",LAL,14,11,1,1,0,0,1,3,4,5,0,1,80.0,0.0,1.74,-0.72,0.00
61,"Aday Mara",OKC,25,14,7,6,0,0,3,0,6,6,1,5,100.0,20.0,3.29,-2.61,-0.19
62,"Kadary Richmond",WSH,28,11,8,3,2,0,4,1,4,12,1,2,33.3,50.0,-1.42,-0.44,-0.22
63,"Lachlan Olbrich",GS,9,2,1,2,0,2,1,0,1,2,0,0,50.0,,0.10,0.00,-0.39
64,"Sean Pedulla",LAC,26,9,3,3,1,0,0,1,3,10,1,2,30.0,50.0,-1.52,-0.44,-0.48
65,"Will Richard",GS,26,11,3,1,1,1,5,3,4,10,0,0,40.0,,-0.52,0.00,-0.52
66,"Jahmi'us Ramsey",DEN,19,7,3,1,0,0,0,1,2,5,1,1,40.0,100.0,-0.26,0.28,-0.56
67,"Colby Jones",GS,14,7,5,1,0,0,0,1,3,8,0,0,37.5,,-0.61,0.00,-0.59
68,"Giovanni Emejuru",DEN,13,4,4,0,1,0,0,0,1,2,1,1,50.0,100.0,0.10,0.28,-0.65
69,"Aaron Nkrumah",DEN,18,8,4,1,0,0,2,2,3,6,0,0,50.0,,0.29,0.00,-0.78
70,"William Hickey",LAL,12,3,1,1,2,0,1,1,1,2,0,0,50.0,,0.10,0.00,-0.85
71,"LJ Cryer",GS,25,9,0,1,2,0,0,1,3,11,1,1,27.3,100.0,-1.97,0.28,-0.89
72,"Anthony Pritchard",OKC,24,6,0,2,1,0,1,0,2,3,1,1,66.7,100.0,0.65,0.28,-1.02
73,"Chance McMillian",GS,15,11,1,1,0,0,2,3,4,9,0,0,44.4,,-0.06,0.00,-1.02
74,"Zach Freemantle",LAC,6,3,1,0,0,1,0,0,1,1,1,1,100.0,100.0,0.55,0.28,-1.14
75,"Miller Kopp",HOU,15,8,0,1,0,0,0,2,2,6,1,1,33.3,100.0,-0.71,0.28,-1.17
76,"Dylan Cardwell",SAC,20,8,7,1,0,0,1,0,4,7,0,1,57.1,0.0,0.84,-0.72,-1.20
77,"Marquel Sutton",SAC,18,0,2,3,0,1,0,0,0,2,0,0,0.0,,-0.90,0.00,-1.22
78,"Chase Ross",LAL,9,4,0,1,1,0,0,0,2,2,0,0,100.0,,1.10,0.00,-1.23
79,"Tyler Burton",MEM,23,11,3,2,1,1,3,1,4,8,1,3,50.0,33.3,0.39,-1.16,-1.23
80,"Anthony Dell'Orso",SAC,11,7,0,1,0,0,1,1,3,3,0,0,100.0,,1.65,0.00,-1.29
81,"Bryce Hopkins",DEN,26,14,7,1,1,0,4,1,6,14,1,2,42.9,50.0,-0.32,-0.44,-1.33
82,"Tyler Bilodeau",BKN,18,0,2,0,2,1,0,0,0,3,0,0,0.0,,-1.35,0.00,-1.34
83,"Duke Miles",PHI,14,5,3,3,1,0,1,1,2,9,0,0,22.2,,-2.06,0.00,-1.50
84,"Julian Reese",WSH,11,4,5,0,1,1,2,0,0,1,2,3,0.0,66.7,-0.45,-0.16,-1.61
85,"Alex Karaban",SAC,24,4,5,2,1,0,2,0,2,6,0,0,33.3,,-0.71,0.00,-1.80
86,"Ben Middlebrooks",HOU,10,2,4,0,2,0,1,0,0,3,1,1,0.0,100.0,-1.35,0.28,-1.94
87,"Tre Carroll",WSH,11,6,5,0,0,0,2,0,3,4,0,0,75.0,,1.19,0.00,-2.00
88,"Jahmyl Telfort",LAC,19,4,1,2,0,0,0,0,2,4,0,0,50.0,,0.19,0.00,-2.03
89,"Mark Sears",DEN,23,7,0,3,1,0,2,1,2,9,2,2,22.2,100.0,-2.06,0.56,-2.11
90,"Peter Suder",LAL,18,2,5,5,0,0,3,0,1,4,0,0,25.0,,-0.81,0.00,-2.19
91,"Dion Brown",BKN,6,2,2,1,0,1,2,0,1,1,0,0,100.0,,0.55,0.00,-2.31
92,"Graham Ike",GS,17,6,2,0,0,0,1,0,3,4,0,0,75.0,,1.19,0.00,-2.38
93,"Daishen Nix",HOU,21,4,4,0,2,1,3,0,2,8,0,0,25.0,,-1.61,0.00,-2.45
94,"John Ukomadu",BKN,3,3,1,0,0,0,0,0,1,1,1,1,100.0,100.0,0.55,0.28,-2.52
95,"Aaron Scott",BKN,5,4,0,0,1,0,0,0,2,4,0,0,50.0,,0.19,0.00,-2.55
96,"Saint Thomas",PHI,18,5,3,0,0,0,1,1,2,5,0,0,40.0,,-0.26,0.00,-2.63
97,"Lawson Lovering",MEM,22,2,3,2,1,2,2,0,1,4,0,2,25.0,0.0,-0.81,-1.44,-2.66
98,"Drew Cisse",PHI,8,2,5,0,0,0,1,0,1,2,0,0,50.0,,0.10,0.00,-2.76
99,"Adam Flagler",SAC,11,3,1,0,0,1,0,1,1,6,0,0,16.7,,-1.71,0.00,-2.78
100,"Damari Monsanto",WSH,3,3,0,0,1,0,0,1,1,4,0,0,25.0,,-0.81,0.00,-2.79
101,"Chris Ledlum",HOU,5,4,7,0,0,0,0,0,2,6,0,1,33.3,0.0,-0.71,-0.72,-2.92
102,"Norris Agbakoko",WSH,4,0,1,3,0,0,1,0,0,0,0,0,,,0.00,0.00,-2.95
103,"Malik Williams",CHI,11,0,2,1,0,0,0,0,0,0,0,0,,,0.00,0.00,-2.96
104,"Riley Kugel",LAC,6,3,0,0,0,0,0,1,1,2,0,0,50.0,,0.10,0.00,-3.00
105,"Themus Fulks",LAC,3,4,0,0,0,0,1,0,1,1,2,2,100.0,100.0,0.55,0.56,-3.00
106,"RJ Nembhard Jr.",WSH,22,9,2,3,0,0,2,1,4,7,0,2,57.1,0.0,0.84,-1.44,-3.04
107,"Dailyn Swain",CHI,30,2,5,4,1,0,1,0,0,7,1,2,0.0,50.0,-3.16,-0.44,-3.07
108,"Jacksen Moni",GS,8,0,2,1,1,0,1,0,0,1,0,0,0.0,,-0.45,0.00,-3.10
109,"Fletcher Loyer",LAC,14,4,0,2,0,0,1,0,0,2,2,2,0.0,100.0,-0.90,0.56,-3.11
110,"Baba Miller",LAC,22,6,1,1,0,1,2,0,1,3,2,3,33.3,66.7,-0.35,-0.16,-3.15
111,"Stevie Mitchell",HOU,5,2,2,0,1,0,2,0,1,1,0,0,100.0,,0.55,0.00,-3.27
112,"Dain Dainja",BKN,12,0,4,1,1,0,2,0,0,2,0,0,0.0,,-0.90,0.00,-3.47
113,"Isaac Johnson",PHI,13,3,0,1,0,1,2,1,1,5,0,0,20.0,,-1.26,0.00,-3.69
114,"Michael Foster Jr.",HOU,15,6,2,0,0,0,2,0,2,5,1,1,40.0,100.0,-0.26,0.28,-3.87
115,"Isaiah Stevens",SAC,8,2,0,1,0,0,1,0,1,2,0,0,50.0,,0.10,0.00,-4.08
116,"Mylik Wilson",PHI,16,4,2,0,1,0,2,0,2,7,0,0,28.6,,-1.16,0.00,-4.43
117,"Zhaire Smith",LAL,4,2,0,1,0,0,2,0,1,1,0,0,100.0,,0.55,0.00,-4.43
118,"Lamar Wilkerson",OKC,7,0,0,1,0,0,1,0,0,0,0,0,,,0.00,0.00,-4.45
119,"Viktor Lakhin",SAC,17,4,6,1,0,0,1,0,1,2,1,4,50.0,25.0,0.10,-1.89,-4.80
120,"Boo Buie",CHI,15,3,0,2,0,0,3,1,1,4,0,0,25.0,,-0.81,0.00,-4.86
121,"B.J. Edwards",SAC,4,1,1,2,0,0,1,0,0,2,1,2,0.0,50.0,-0.90,-0.44,-4.90
122,"Dwight Murray Jr.",BKN,2,0,0,0,0,0,1,0,0,0,0,0,,,0.00,0.00,-5.01
123,"Carson Cooper",MEM,15,2,2,0,0,0,2,0,1,3,0,0,33.3,,-0.35,0.00,-5.01
124,"Duke Brennan",BKN,3,0,1,0,0,0,1,0,0,1,0,0,0.0,,-0.45,0.00,-5.02
125,"Dante Maddox Jr.",PHI,26,10,0,1,1,0,3,1,2,11,3,4,18.2,75.0,-2.97,0.11,-5.07
126,"Javontae Campbell",PHI,4,1,1,1,0,0,1,0,0,1,1,2,0.0,50.0,-0.45,-0.44,-5.08
127,"John Camden",WSH,19,0,5,0,0,0,1,0,0,6,0,0,0.0,,-2.71,0.00,-5.43
128,"Mitch Mascari",SAC,7,0,0,0,1,0,1,0,0,1,0,1,0.0,0.0,-0.45,-0.72,-5.66
129,"Gerald Ayayi",PHI,13,0,2,0,0,0,0,0,0,6,0,0,0.0,,-2.71,0.00,-5.82
130,"Maxime Raynaud",SAC,15,3,4,2,0,0,7,1,1,3,0,0,33.3,,-0.35,0.00,-5.93
131,"Matt Rogers",PHI,7,0,3,0,0,0,3,0,0,3,0,0,0.0,,-1.35,0.00,-6.51
132,"Nick Townsend",PHI,3,0,2,0,0,0,1,0,0,0,0,2,,0.0,0.00,-1.44,-6.75
133,"Nique Clifford",SAC,15,2,1,1,0,0,3,0,1,3,0,1,33.3,0.0,-0.35,-0.72,-6.81
134,"Davide Casarin",HOU,13,0,2,2,0,0,4,0,0,1,0,1,0.0,0.0,-0.45,-0.72,-6.98
135,"Johni Broome",PHI,22,2,3,0,1,0,1,0,1,5,0,3,20.0,0.0,-1.26,-2.16,-7.43